Legal Entity,Acct #,SA ID,Meter Number,Pump ID,Pump Name,Rate Schedule,Cycle Code,Outage Block,Service Address,Lat,Long,GPM,HP,Crop,Legacy,Status,Kind,NEMA,Net Metering,True-Up Month,Solar kW,Ranch
Batth Farms LLC,07300000000,1000007919,M-1001,P001,Home Ranch Well 1,AG-B,2-02,,"101 County Road, Madera, CA",36.510,-119.810,313,27,Pistachios,,BAD,pump,,,,,Home Ranch
"Batth Farms, LLC.",07300009973,1000015838,M-1002,P002,Home Ranch Well 2,AG-C,3-03,,"102 County Road, Madera, CA",36.520,-119.820,326,34,Walnuts,,NEW WELL,pump,,,,,Home Ranch
Batth Farms LLC,07300019946,1000023757,M-1003,P003,Home Ranch Well 3,B-1,4-04,,"103 County Road, Madera, CA",36.530,-119.830,339,41,,yes,OLD,pump,,,,,Home Ranch
"Batth Farms, LLC.",07300029919,1000031676,M-1004,P004,Avenue 7 Well 4,B-19,5-05,,"104 County Road, Madera, CA",36.540,-119.840,352,48,Almonds,,,pump,,,,,Avenue 7
Batth Farms LLC,07300039892,1000039595,M-1005,P005,Avenue 7 Well 5,AG-A,6-06,,"105 County Road, Madera, CA",36.550,-119.850,365,55,Pistachios,,GOOD,pump,,,,,Avenue 7
"Batth Farms, LLC.",07300049865,1000047514,M-1006,P006,Avenue 7 Well 6,AG-4B,7-07,,"106 County Road, Madera, CA",36.560,-119.860,378,62,Walnuts,,BAD,pump,,,,,Avenue 7
Batth Farms LLC,07300059838,1000055433,M-1007,P007,Road 22 Well 7,AG-C,8-08,,"107 County Road, Madera, CA",36.570,-119.870,,,,,NEW WELL,pump,,,,,Road 22
"Batth Farms, LLC.",07300069811,1000063352,M-1008,P008,Road 22 Well 8,B-1,9-09,,"108 County Road, Madera, CA",36.580,-119.880,404,76,Almonds,,OLD,pump,,,,,Road 22
Batth Farms LLC,07300079784,1000071271,M-1009,P009,Road 22 Well 9,B-19,1-10,BLK-10,"109 County Road, Madera, CA",36.590,-119.890,417,83,Pistachios,,,pump,,,,,Road 22
"Batth Farms, LLC.",07300089757,1000079190,M-1010,P010,Mill Site Well 10,AG-A,2-11,,"110 County Road, Madera, CA",36.600,-119.900,430,90,Walnuts,,GOOD,pump,,,,,Mill Site
Batth Farms LLC,07300099730,1000087109,M-1011,P011,Mill Site Well 11,AG-B,3-12,,"111 County Road, Madera, CA",,,443,97,,,BAD,pump,,,,,Mill Site
"Batth Farms, LLC.",07300109703,1000095028,M-1012,P012,Mill Site Well 12,AG-5B,4-13,,"112 County Road, Madera, CA",36.620,-119.920,456,24,Almonds,,NEW WELL,pump,,,,,Mill Site
Batth Farms LLC,07300119676,1000102947,M-1013,P013,South Block Well 13,B-1,5-14,,"113 County Road, Madera, CA",36.630,-119.930,469,31,Pistachios,,OLD,pump,,,,,South Block
"Batth Farms, LLC.",07300129649,1000110866,M-1014,P014,South Block Well 14,B-19,6-15,,"114 County Road, Madera, CA",36.640,-119.940,,,Walnuts,,,pump,,,,,South Block
Batth Farms LLC,07300139622,1000118785,M-1015,P015,South Block Well 15,AG-A,7-16,,"115 County Road, Madera, CA",36.650,-119.950,495,45,,,GOOD,pump,,,,,South Block
Batth Brothers Partnership,07300149595,1000126704,M-1016,P016,Riverbend Well 16,AG-B,8-17,,"116 County Road, Madera, CA",36.660,-119.960,508,52,Almonds,,BAD,pump,,,,,Riverbend
Batth Brothers Partnership,07300159568,1000134623,M-1017,P017,Riverbend Well 17,AG-C,9-18,,"117 County Road, Madera, CA",36.670,-119.970,521,59,Pistachios,,NEW WELL,pump,,,,,Riverbend
